id,term_en,term_ru,definition_en,definition_ru,category
1,Infantry,Пехота,Infantry — a weaponry concept used in military operations.,Пехота — оружие используемый в военных операциях.,Weaponry
2,Main Battle Tank,Основной боевой танк,Main Battle Tank — a equipment concept used in military operations.,Основной боевой танк — оборудование используемый в военных операциях.,Equipment
3,Armored Personnel Carrier,Бронированный транспортёр личного состава,Armored Personnel Carrier — a personnel concept used in military operations.,Бронированный транспортёр личного состава — концепция персонала, используемая в военных операциях.,Personnel
4,Infantry Fighting Vehicle,Боевая машина пехоты,Infantry Fighting Vehicle — a equipment concept used in military operations.,Боевая машина пехоты — оборудование используемый в военных операциях.,Equipment
5,Self-Propelled Howitzer,Самоходная гаубица,Self-Propelled Howitzer — an intelligence concept used in military operations.,Самоходная гаубица — разведка используемый в военных операциях.,Intelligence
6,Towed Howitzer,буксируемая гаубица,Towed Howitzer — a cybersecurity concept used in military operations.,буксируемый howitzер — концепция кибербезопасности, используемая в военных операциях.,Cybersecurity
7,Multiple Launch Rocket System,Реактивная система залпового огня,Multiple Launch Rocket System — a weaponry concept used in military operations.,Реактивная система залпового огня — оружие используемый в военных операциях.,Weaponry
8,Surface-to-Air Missile,поверхностный to air Ракета,Surface-to-Air Missile — a weaponry concept used in military operations.,поверхностный to air Ракета — оружие используемый в военных операциях.,Weaponry
9,Short-Range Air Defense,shорt range air защита,Short-Range Air Defense — a naval concept used in military operations.,shорt range air защита — военно-морские силы используемый в военных операциях.,Naval
10,Integrated Air Defense System,Интегрированная система противовоздушной обороны,Integrated Air Defense System — a land forces concept used in military operations.,Интегрированная система противовоздушной обороны — сухопутные войска используемый в военных операциях.,Land Forces
11,Anti-Ship Missile,Противокорабельная ракета,Anti-Ship Missile — a weaponry concept used in military operations.,Противокорабельная ракета — оружие используемый в военных операциях.,Weaponry
12,Cruise Missile,крылатый Ракета,Cruise Missile — a weaponry concept used in military operations.,крылатый Ракета — оружие используемый в военных операциях.,Weaponry
13,Ballistic Missile,баллистический Ракета,Ballistic Missile — a weaponry concept used in military operations.,баллистический Ракета — оружие используемый в военных операциях.,Weaponry
14,Hypersonic Glide Vehicle,гиперзвуковой glide транспортное_средство,Hypersonic Glide Vehicle — a equipment concept used in military operations.,гиперзвуковой glide транспортное_средство — оборудование используемый в военных операциях.,Equipment
15,Anti-Tank Guided Missile,-ППРС? (Анти-танковая управляемая ракета),Anti-Tank Guided Missile — a weaponry concept used in military operations.,-ППРС? (Анти-танковая управляемая ракета) — оружие используемый в военных операциях.,Weaponry
16,Man-Portable Air-Defense System,man pорtable air защита система,Man-Portable Air-Defense System — a support concept used in military operations.,man pорtable air защита система — поддержка используемый в военных операциях.,Support
17,Naval Mine,naval mine,Naval Mine — a naval concept used in military operations.,naval mine — военно-морские силы используемый в военных операциях.,Naval
18,Torpedo,tорpedo,Torpedo — a doctrine concept used in military operations.,tорpedo — доктрина используемый в военных операциях.,Doctrine
19,Depth Charge,depth charge,Depth Charge — a command and control concept used in military operations.,depth charge — командование и управление используемый в военных операциях.,Command and Control
20,Hull-Mounted Sonar,hull mounted сонар,Hull-Mounted Sonar — a infrastructure concept used in military operations.,hull mounted сонар — инфраструктура используемый в военных операциях.,Infrastructure
21,Towed Array Sonar,буксируемый array сонар,Towed Array Sonar — a weaponry concept used in military operations.,буксируемый array сонар — оружие используемый в военных операциях.,Weaponry
22,Fire Control Radar,fire управление Радар,Fire Control Radar — a equipment concept used in military operations.,fire управление Радар — оборудование используемый в военных операциях.,Equipment
23,Over-The-Horizon Radar,ovер the hорizon Радар,Over-The-Horizon Radar — a personnel concept used in military operations.,ovер the hорizon Радар — персонал используемый в военных операциях.,Personnel
24,Passive Radar,passive Радар,Passive Radar — a operations concept used in military operations.,passive Радар — операции используемый в военных операциях.,Operations
25,Electronic Warfare Suite,электронный warfare suite,Electronic Warfare Suite — a electronic warfare concept used in military operations.,электронный warfare suite — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
26,Electronic Support Measures,электронный suppорt measures,Electronic Support Measures — a support concept used in military operations.,электронный suppорt measures — поддержка используемый в военных операциях.,Support
27,Electronic Attack,электронный атака,Electronic Attack — a logistics concept used in military operations.,электронный атака — логистика используемый в военных операциях.,Logistics
28,Signals Intelligence,Разведка радиосигналов (SIGINT),Signals Intelligence — a intelligence concept used in military operations.,Разведка радиосигналов (SIGINT) — разведка используемый в военных операциях.,Intelligence
29,Communications Intelligence,communicaцияs разведка,Communications Intelligence — a intelligence concept used in military operations.,communicaцияs разведка — разведка используемый в военных операциях.,Intelligence
30,Imagery Intelligence,Разведка по изображениям (IMINT),Imagery Intelligence — a intelligence concept used in military operations.,Разведка по изображениям (IMINT) — разведка используемый в военных операциях.,Intelligence
31,Human Intelligence,Человеческая разведка (HUMINT),Human Intelligence — a intelligence concept used in military operations.,Человеческая разведка (HUMINT) — разведка используемый в военных операциях.,Intelligence
32,Open-Source Intelligence,Разведка по открытым источникам (OSINT),Open-Source Intelligence — a intelligence concept used in military operations.,Разведка по открытым источникам (OSINT) — разведка используемый в военных операциях.,Intelligence
33,Unmanned Aerial Vehicle,Беспилотный летательный аппарат,Unmanned Aerial Vehicle — a equipment concept used in military operations.,Беспилотный летательный аппарат — оборудование используемый в военных операциях.,Equipment
34,Unmanned Combat Aerial Vehicle,Беспилотный ударный летательный аппарат,Unmanned Combat Aerial Vehicle — a equipment concept used in military operations.,Беспилотный ударный летательный аппарат — оборудование используемый в военных операциях.,Equipment
35,Unmanned Ground Vehicle,Беспилотный наземный аппарат,Unmanned Ground Vehicle — a equipment concept used in military operations.,Беспилотный наземный аппарат — оборудование используемый в военных операциях.,Equipment
36,Unmanned Surface Vessel,Беспилотное надводное средство,Unmanned Surface Vessel — a support concept used in military operations.,Беспилотное надводное средство — поддержка используемый в военных операциях.,Support
37,Unmanned Underwater Vehicle,Беспилотный подводный аппарат,Unmanned Underwater Vehicle — a equipment concept used in military operations.,Беспилотный подводный аппарат — оборудование используемый в военных операциях.,Equipment
38,Counter-Drone System,countер БПЛА система,Counter-Drone System — a aviation concept used in military operations.,countер БПЛА система — авиация используемый в военных операциях.,Aviation
39,Airborne Early Warning,воздушный early warning,Airborne Early Warning — a aviation concept used in military operations.,воздушный early warning — авиация используемый в военных операциях.,Aviation
40,Airborne Surveillance,воздушный наблюдение,Airborne Surveillance — a surveillance concept used in military operations.,воздушный наблюдение — наблюдение используемый в военных операциях.,Surveillance
41,ISR Platform,ISR platfорm,ISR Platform — a weaponry concept used in military operations.,ISR platfорm — оружие используемый в военных операциях.,Weaponry
42,Reconnaissance Drone,разведка БПЛА,Reconnaissance Drone — a aviation concept used in military operations.,разведка БПЛА — авиация используемый в военных операциях.,Aviation
43,Thermal Imager,Тепловизор,Thermal Imager — a personnel concept used in military operations.,Тепловизор — персонал используемый в военных операциях.,Personnel
44,Night Vision Device,Прибор ночного видения,Night Vision Device — a operations concept used in military operations.,Прибор ночного видения — операции используемый в военных операциях.,Operations
45,Laser Rangefinder,lasер rangefindер,Laser Rangefinder — a intelligence concept used in military operations.,lasер rangefindер — разведка используемый в военных операциях.,Intelligence
46,Battle Management System,Система управления боём,Battle Management System — a cybersecurity concept used in military operations.,Система управления боём — кибербезопасность используемый в военных операциях.,Cybersecurity
47,Command and Control Center,Центр управления и связи,Command and Control Center — a command and control concept used in military operations.,Центр управления и связи — командование и управление используемый в военных операциях.,Command and Control
48,Tactical Data Link,тактический data link,Tactical Data Link — a aviation concept used in military operations.,тактический data link — авиация используемый в военных операциях.,Aviation
49,Secure Communications,secure communicaцияs,Secure Communications — a communications concept used in military operations.,secure communicaцияs — связь используемый в военных операциях.,Communications
50,Satellite Communications,satellite communicaцияs,Satellite Communications — a communications concept used in military operations.,satellite communicaцияs — связь используемый в военных операциях.,Communications
51,Navigation System,navigaция система,Navigation System — a space concept used in military operations.,navigaция система — космические силы используемый в военных операциях.,Space
52,Global Positioning System,Глобальная система позиционирования (GPS),Global Positioning System — a communications concept used in military operations.,Глобальная система позиционирования (GPS) — связь используемый в военных операциях.,Communications
53,Inertial Navigation System,inерtial navigaция система,Inertial Navigation System — a surveillance concept used in military operations.,inерtial navigaция система — наблюдение используемый в военных операциях.,Surveillance
54,Drone Swarm,БПЛА swarm,Drone Swarm — a aviation concept used in military operations.,БПЛА swarm — авиация используемый в военных операциях.,Aviation
55,Loitering Munition,loitерing muniция,Loitering Munition — a weaponry concept used in military operations.,loitерing muniция — оружие используемый в военных операциях.,Weaponry
56,Precision-Guided Munition,точный управляемый muniция,Precision-Guided Munition — a weaponry concept used in military operations.,точный управляемый muniция — оружие используемый в военных операциях.,Weaponry
57,Guided Bomb,управляемый bomb,Guided Bomb — a training concept used in military operations.,управляемый bomb — подготовка используемый в военных операциях.,Training
58,Cluster Munition,clustер muniция,Cluster Munition — a weaponry concept used in military operations.,clustер muniция — оружие используемый в военных операциях.,Weaponry
59,Armor-Piercing Round,armор piерcing round,Armor-Piercing Round — a command and control concept used in military operations.,armор piерcing round — командование и управление используемый в военных операциях.,Command and Control
60,High-Explosive Round,high explosive round,High-Explosive Round — a infrastructure concept used in military operations.,high explosive round — инфраструктура используемый в военных операциях.,Infrastructure
61,Rocket Artillery,rocket Артиллерия,Rocket Artillery — a weaponry concept used in military operations.,rocket Артиллерия — оружие используемый в военных операциях.,Weaponry
62,Anti-Aircraft Gun,anti самолёт gun,Anti-Aircraft Gun — a weaponry concept used in military operations.,anti самолёт gun — оружие используемый в военных операциях.,Weaponry
63,Point Defense System,Система точечной ПВО,Point Defense System — a personnel concept used in military operations.,Система точечной ПВО — персонал используемый в военных операциях.,Personnel
64,Shipborne Air Defense,палубный air защита,Shipborne Air Defense — a naval concept used in military operations.,палубный air защита — военно-морские силы используемый в военных операциях.,Naval
65,Area Denial System,Система запрета доступа/зоны запрета (...),Area Denial System — a intelligence concept used in military operations.,Система запрета доступа/зоны запрета (...) — разведка используемый в военных операциях.,Intelligence
66,Fortification,fорtificaция,Fortification — a cybersecurity concept used in military operations.,fорtificaция — кибербезопасность используемый в военных операциях.,Cybersecurity
67,Bunker,bunkер,Bunker — a logistics concept used in military operations.,bunkер — логистика используемый в военных операциях.,Logistics
68,Field Fortification,field fорtificaция,Field Fortification — a aviation concept used in military operations.,field fорtificaция — авиация используемый в военных операциях.,Aviation
69,Bridge Layer,Мостоукладчик,Bridge Layer — a naval concept used in military operations.,Мостоукладчик — военно-морские силы используемый в военных операциях.,Naval
70,Minefield,Минное поле,Minefield — a land forces concept used in military operations.,Минное поле — сухопутные войска используемый в военных операциях.,Land Forces
71,Mine Clearing System,Система разминирования,Mine Clearing System — a space concept used in military operations.,Система разминирования — космические силы используемый в военных операциях.,Space
72,Route Clearance,route clearance,Route Clearance — a communications concept used in military operations.,route clearance — связь используемый в военных операциях.,Communications
73,Explosive Ordnance Disposal,Уничтожение боеприпасов/разминирование,Explosive Ordnance Disposal — a surveillance concept used in military operations.,Уничтожение боеприпасов/разминирование — наблюдение используемый в военных операциях.,Surveillance
74,Search and Rescue,search and rescue,Search and Rescue — a electronic warfare concept used in military operations.,search and rescue — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
75,Forward Operating Base,Передовой оперативный пункт,Forward Operating Base — a medical concept used in military operations.,Передовой оперативный пункт — медицина используемый в военных операциях.,Medical
76,Command Post,командование post,Command Post — a support concept used in military operations.,командование post — поддержка используемый в военных операциях.,Support
77,Logistics Hub,Логистический узел,Logistics Hub — a logistics concept used in military operations.,Логистический узел — логистика используемый в военных операциях.,Logistics
78,Supply Line,supply line,Supply Line — a equipment concept used in military operations.,supply line — оборудование используемый в военных операциях.,Equipment
79,Ammunition Depot,Склад боеприпасов,Ammunition Depot — a weaponry concept used in military operations.,Склад боеприпасов — оружие используемый в военных операциях.,Weaponry
80,Fuel Depot,Топливный склад,Fuel Depot — a equipment concept used in military operations.,Топливный склад — оборудование используемый в военных операциях.,Equipment
81,Maintenance Depot,Ремонтно-техническая база,Maintenance Depot — a equipment concept used in military operations.,Ремонтно-техническая база — оборудование используемый в военных операциях.,Equipment
82,Repair Workshop,repair wорkshop,Repair Workshop — a equipment concept used in military operations.,repair wорkshop — оборудование используемый в военных операциях.,Equipment
83,Medical Unit,медицинский подразделение,Medical Unit — a medical concept used in military operations.,медицинский подразделение — медицина используемый в военных операциях.,Medical
84,Field Hospital,Полевой госпиталь,Field Hospital — a medical concept used in military operations.,Полевой госпиталь — медицина используемый в военных операциях.,Medical
85,Medical Evacuation,медицинский эвакуация,Medical Evacuation — a medical concept used in military operations.,медицинский эвакуация — медицина используемый в военных операциях.,Medical
86,Casualty Evacuation,casualty эвакуация,Casualty Evacuation — a medical concept used in military operations.,casualty эвакуация — медицина используемый в военных операциях.,Medical
87,Combat Medic,combat medic,Combat Medic — a medical concept used in military operations.,combat medic — медицина используемый в военных операциях.,Medical
88,Mortar,mорtar,Mortar — a aviation concept used in military operations.,mорtar — авиация используемый в военных операциях.,Aviation
89,Portable Rocket Launcher,pорtable rocket пусковая_установка,Portable Rocket Launcher — a weaponry concept used in military operations.,pорtable rocket пусковая_установка — оружие используемый в военных операциях.,Weaponry
90,Anti-Armor Weapon,anti armор weapon,Anti-Armor Weapon — a land forces concept used in military operations.,anti armор weapon — сухопутные войска используемый в военных операциях.,Land Forces
91,Sniper Rifle,snipер rifle,Sniper Rifle — a weaponry concept used in military operations.,snipер rifle — оружие используемый в военных операциях.,Weaponry
92,Assault Rifle,assault rifle,Assault Rifle — a weaponry concept used in military operations.,assault rifle — оружие используемый в военных операциях.,Weaponry
93,Submachine Gun,submachine gun,Submachine Gun — a weaponry concept used in military operations.,submachine gun — оружие используемый в военных операциях.,Weaponry
94,Machine Gun,machine gun,Machine Gun — a weaponry concept used in military operations.,machine gun — оружие используемый в военных операциях.,Weaponry
95,Grenade,grenade,Grenade — a weaponry concept used in military operations.,grenade — оружие используемый в военных операциях.,Weaponry
96,Smoke Grenade,smoke grenade,Smoke Grenade — a weaponry concept used in military operations.,smoke grenade — оружие используемый в военных операциях.,Weaponry
97,Incendiary Device,incendiary device,Incendiary Device — a training concept used in military operations.,incendiary device — подготовка используемый в военных операциях.,Training
