Term,RelationType,Value,Language
Military Operation,SN,Coordinated military actions carried out to achieve strategic or tactical goals,EN
Military Operation,SN,A structured sequence of combat or support activities executed by armed forces,EN
Military Operation,SN,Planned and organized deployment of military resources in a specific area,EN
Военная операция,SN,"Совокупность боевых и обеспечивающих действий, направленных на достижение военных целей",RU
Военная операция,SN,Организованное применение вооружённых сил в рамках определённого плана,RU
Военная операция,SN,Комплекс мероприятий боевого и тылового характера,RU
Әскери операция,SN,Әскери мақсаттарға жету үшін жоспарланған және үйлестірілген іс-қимылдар жиынтығы,KZ
Әскери операция,SN,Қарулы күштердің нақты міндетті орындау үшін қолданылатын шаралары,KZ
Әскери операция,SN,Стратегиялық немесе тактикалық мақсатқа бағытталған әрекеттер жүйесі,KZ
Military Operation,BT,Military Activity,EN
Military Operation,BT,Armed Forces Operations,EN
Military Operation,BT,Defense Operations,EN
Военная операция,BT,Военная деятельность,RU
Военная операция,BT,Операции вооружённых сил,RU
Военная операция,BT,Оборонительные мероприятия,RU
Әскери операция,BT,Әскери қызмет,KZ
Әскери операция,BT,Қарулы күштер операциялары,KZ
Әскери операция,BT,Қорғаныс операциялары,KZ
Military Operation,NT,Combat Operation,EN
Military Operation,NT,Peacekeeping Operation,EN
Military Operation,NT,Special Forces Operation,EN
Military Operation,NT,Offensive Operation,EN
Military Operation,NT,Defensive Operation,EN
Военная операция,NT,Боевая операция,RU
Военная операция,NT,Миротворческая операция,RU
Военная операция,NT,Спецоперация,RU
Военная операция,NT,Наступательная операция,RU
Военная операция,NT,Оборонительная операция,RU
Әскери операция,NT,Ұрыс операциясы,KZ
Әскери операция,NT,Бітімгерлік операция,KZ
Әскери операция,NT,Арнайы операция,KZ
Әскери операция,NT,Шабуыл операциясы,KZ
Әскери операция,NT,Қорғаныс операциясы,KZ
Military Operation,RT,Military Strategy,EN
Military Operation,RT,Tactical Maneuver,EN
Military Operation,RT,Logistical Support,EN
Military Operation,RT,Rules of Engagement,EN
Военная операция,RT,Военная стратегия,RU
Военная операция,RT,Тактический манёвр,RU
Военная операция,RT,Тыловое обеспечение,RU
Военная операция,RT,Правила ведения боя,RU
Әскери операция,RT,Әскери стратегия,KZ
Әскери операция,RT,Тактикалық маневр,KZ
Әскери операция,RT,Тылдық қолдау,KZ
Әскери операция,RT,Ұрыс жүргізу ережелері,KZ
Military Operation,UF,War Operation,EN
Military Operation,UF,Military Campaign,EN
Military Operation,UF,Operational Battle Action,EN
Военная операция,UF,Операция на войне,RU
Военная операция,UF,Военная кампания,RU
Военная операция,UF,Боевые мероприятия,RU
Әскери операция,UF,Соғыс операциясы,KZ
Әскери операция,UF,Әскери кампания,KZ
Әскери операция,UF,Ұрыс шаралары,KZ
Military Operation,PT,Command Structure,EN
Military Operation,PT,Operational Plan,EN
